lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
art,322,art=306; arts=16,308,14,0,0,0,0,0,0
provide,321,provide=189; provides=51; providing=46; provided=35,0,1,320,0,0,0,0,0
who,321,who=321,0,0,0,0,0,0,321,0
text,320,text=314; texts=6,8,0,183,0,0,0,0,129
our,316,our=316,0,0,0,0,0,0,316,0
no,307,no=307,5,64,0,0,0,33,0,205
out,301,out=298; outing=2; outs=1,1,0,2,0,0,14,0,284
social,301,social=301,1,14,0,0,285,1,0,0
up,301,up=297; ups=4,13,0,0,0,0,18,0,270
online,300,online=300,5,1,0,0,200,94,0,0
where,298,where=298,0,0,0,0,0,0,0,298
most,291,most=291,0,0,0,0,102,189,0,0
ask,287,ask=249; asked=24; asking=11; asks=3,1,1,285,0,0,0,0,0
get,287,get=194; got=40; getting=33; gets=18; gotten=2,0,1,286,0,0,0,0,0
music,287,music=287,277,10,0,0,0,0,0,0
professor,285,professor=273; professors=12,255,30,0,0,0,0,0,0
interviewer,284,interviewer=284,284,0,0,0,0,0,0,0
also,283,also=283,0,0,0,0,0,283,0,0
should,281,should=281,0,0,0,281,0,0,0,0
next,280,next=280,0,2,0,0,223,44,0,11
repeat,280,repeat=266; repeated=8; repeating=6,4,0,276,0,0,0,0,0
announcement,278,announcement=276; announcements=2,278,0,0,0,0,0,0,0
see,278,see=186; seen=48; saw=30; seeing=13; sees=1,0,0,278,0,0,0,0,0
into,276,into=276,0,0,0,0,0,0,0,276
mention,276,mention=189; mentioned=55; mentions=30; mentioning=2,3,3,270,0,0,0,0,0
suggest,269,suggest=177; suggests=44; suggested=31; suggesting=17,0,1,268,0,0,0,0,0
system,269,systems=150; system=119,268,1,0,0,0,0,0,0
find,268,find=141; found=103; finding=16; finds=8,5,0,263,0,0,0,0,0
often,266,often=266,0,0,0,0,0,266,0,0
friend,256,friend=210; friends=46,179,77,0,0,0,0,0,0
learn,255,learning=130; learn=99; learned=23; learns=3,0,1,254,0,0,0,0,0
explain,250,explain=225; explains=11; explained=8; explaining=6,0,1,249,0,0,0,0,0
while,249,while=249,8,0,0,0,0,0,0,241
just,247,just=247,0,0,0,0,1,246,0,0
example,246,example=213; examples=33,246,0,0,0,0,0,0,0
event,239,event=162; events=77,238,1,0,0,0,0,0,0
such,238,such=238,0,0,0,0,232,0,0,6
start,236,start=108; starting=53; started=43; starts=32,19,2,215,0,0,0,0,0
interview,233,interview=222; interviews=9; interviewed=2,229,0,4,0,0,0,0,0
way,232,way=149; ways=83,227,2,0,0,0,3,0,0
create,231,create=108; creating=65; created=39; creates=19,0,0,231,0,0,0,0,0
could,230,could=230,0,0,0,230,0,0,0,0
last,228,last=208; lasted=10; lasting=8; lasts=2,0,0,30,0,192,6,0,0
many,228,many=228,0,0,0,0,228,0,0,0
technology,228,technology=185; technologies=43,226,2,0,0,0,0,0,0
her,226,her=226,0,0,0,0,0,0,226,0
long,226,long=171; longer=51; longest=4,0,0,0,0,126,100,0,0
yes,225,yes=225,0,46,0,0,0,0,0,179
want,224,want=126; wanted=62; wants=36,0,0,224,0,0,0,0,0
experience,222,experience=113; experiences=83; experienced=14; experiencing=12,169,1,52,0,0,0,0,0
challenge,221,challenges=124; challenge=70; challenging=20; challenged=7,164,0,57,0,0,0,0,0
may,219,may=219,0,1,0,218,0,0,0,0
lead,217,lead=86; led=57; leading=43; leads=31,10,0,206,0,1,0,0,0
city,216,city=112; cities=104,199,17,0,0,0,0,0,0
write,215,write=134; writing=53; written=12; wrote=12; writes=4,0,0,215,0,0,0,0,0
great,214,great=164; greater=42; greatest=8,0,28,0,0,181,0,0,5
human,208,human=168; humans=40,53,2,0,0,152,1,0,0
different,207,different=207,0,0,0,0,207,0,0,0
through,203,through=203,0,0,0,0,0,8,0,195
close,202,closest=92; close=45; closed=39; closer=12; closes=12; closing=2,1,0,61,0,120,20,0,0
life,201,life=182; lives=19,200,1,0,0,0,0,0,0
offer,201,offer=84; offers=59; offered=33; offering=25,10,1,190,0,0,0,0,0
too,200,too=200,0,0,0,0,0,200,0,0
book,198,book=126; books=56; booked=15; booking=1,166,5,27,0,0,0,0,0
water,198,water=178; waters=17; watering=2; watered=1,187,5,6,0,0,0,0,0
his,197,his=197,0,0,0,0,0,0,197,0
group,195,group=158; groups=36; grouped=1,187,7,1,0,0,0,0,0
food,193,food=179; foods=14,191,2,0,0,0,0,0,0
early,190,early=148; earlier=36; earliest=6,0,0,0,0,134,56,0,0
design,189,design=112; designed=44; designs=25; designing=8,110,3,76,0,0,0,0,0
over,188,over=188,0,0,0,0,0,8,0,180
might,187,might=187,0,0,0,187,0,0,0,0
once,187,once=187,0,0,0,0,0,176,0,11
another,185,another=185,0,0,0,0,0,0,0,185
first,184,first=184,0,0,0,0,88,96,0,0
reduce,184,reduce=81; reducing=53; reduces=27; reduced=23,0,0,184,0,0,0,0,0
require,184,requires=78; required=58; require=36; requiring=12,0,0,184,0,0,0,0,0
now,183,now=183,0,0,0,0,0,182,0,1
today,183,today=183,183,0,0,0,0,0,0,0
during,181,during=181,0,0,0,0,0,0,0,181
role,181,role=147; roles=34,176,5,0,0,0,0,0,0
between,180,between=180,0,0,0,0,0,0,0,180
point,180,point=127; points=51; pointed=1; pointing=1,108,8,64,0,0,0,0,0
show,179,show=100; shows=26; shown=21; showed=18; showing=14,24,2,153,0,0,0,0,0
plan,178,plan=63; planning=59; plans=48; planned=8,66,4,108,0,0,0,0,0
place,177,place=111; places=37; placed=17; placing=12,133,2,42,0,0,0,0,0
activity,176,activities=105; activity=71,176,0,0,0,0,0,0,0
discuss,176,discuss=105; discussing=46; discussed=17; discusses=8,0,6,170,0,0,0,0,0
plant,176,plants=105; plant=65; planted=3; planting=3,159,2,15,0,0,0,0,0
before,175,before=175,0,0,0,0,0,26,0,149
look,175,looking=80; look=66; looks=16; looked=13,11,1,163,0,0,0,0,0
include,174,including=68; include=67; includes=23; included=16,0,0,174,0,0,0,0,0
part,174,part=150; parts=24,159,0,0,0,15,0,0,0
week,174,week=152; weeks=22,171,3,0,0,0,0,0,0
center,173,center=154; centered=13; centers=6,121,39,13,0,0,0,0,0
information,173,information=173,168,5,0,0,0,0,0,0
main,173,main=173,0,4,0,0,169,0,0,0
process,173,process=111; processes=56; processing=4; processed=2,154,0,19,0,0,0,0,0
area,170,areas=107; area=63,170,0,0,0,0,0,0,0
believe,169,believe=139; believed=22; believes=8,0,0,169,0,0,0,0,0
because,168,because=168,0,0,0,0,0,0,0,168
library,168,library=167; libraries=1,163,5,0,0,0,0,0,0
problem,168,problem=99; problems=69,168,0,0,0,0,0,0,0
space,167,space=89; spaces=78,156,11,0,0,0,0,0,0
short,165,short=162; shorter=3,0,0,0,0,161,4,0,0
describe,164,describe=109; describes=36; described=16; describing=3,0,0,164,0,0,0,0,0
give,164,give=92; giving=28; gave=18; given=18; gives=8,0,0,164,0,0,0,0,0
important,164,important=164,0,0,0,0,164,0,0,0
increase,164,increase=66; increased=58; increasing=23; increases=17,33,0,131,0,0,0,0,0
year,164,year=92; years=72,163,1,0,0,0,0,0,0
idea,163,idea=94; ideas=69,163,0,0,0,0,0,0,0
email,162,email=155; emails=5; emailed=2,149,0,13,0,0,0,0,0
influence,162,influence=92; influenced=40; influences=19; influencing=11,63,4,95,0,0,0,0,0
impact,160,impact=129; impacts=25; impacted=4; impacting=2,126,2,32,0,0,0,0,0
improve,160,improve=100; improved=27; improving=23; improves=10,0,0,160,0,0,0,0,0
play,159,play=77; played=39; plays=28; playing=15,19,4,136,0,0,0,0,0
produce,159,produce=80; produced=32; produces=24; producing=23,8,0,151,0,0,0,0,0
check,158,check=118; checked=26; checking=13; checks=1,7,8,143,0,0,0,0,0
energy,158,energy=158,154,4,0,0,0,0,0,0
project,157,project=122; projects=35,154,0,3,0,0,0,0,0
effect,155,effects=84; effect=71,147,7,1,0,0,0,0,0
manager,155,manager=153; managers=2,138,17,0,0,0,0,0,0
store,155,store=111; stores=30; stored=9; storing=5,121,1,33,0,0,0,0,0
environmental,154,environmental=154,0,11,0,0,143,0,0,0
health,154,health=154,144,10,0,0,0,0,0,0
task,154,task=122; tasks=32,46,108,0,0,0,0,0,0
thank,154,thank=105; thanks=49,49,0,105,0,0,0,0,0
traditional,153,traditional=153,2,3,0,0,148,0,0,0
any,152,any=152,0,0,0,0,0,0,0,152
sound,152,sounds=89; sound=62; sounding=1,66,1,69,0,16,0,0,0
very,152,very=152,0,0,0,0,2,150,0,0
form,151,form=91; forms=44; formed=10; forming=6,103,0,48,0,0,0,0,0
theory,151,theory=122; theories=29,141,10,0,0,0,0,0,0
large,150,large=104; larger=39; largest=7,0,1,0,0,149,0,0,0
cultural,149,cultural=149,0,0,0,0,149,0,0,0
available,147,available=147,0,0,0,0,147,0,0,0
focus,146,focus=73; focusing=27; focused=24; focuses=22,33,5,108,0,0,0,0,0
understand,146,understand=79; understanding=54; understood=12; understands=1,0,0,146,0,0,0,0,0
issue,145,issues=92; issue=48; issued=5,140,0,5,0,0,0,0,0
much,145,much=145,0,0,0,0,52,93,0,0
club,144,club=137; clubs=7,124,20,0,0,0,0,0,0
community,144,community=93; communities=51,138,6,0,0,0,0,0,0
accord,143,according=143,0,0,143,0,0,0,0,0
attend,143,attend=96; attending=33; attended=13; attends=1,0,0,143,0,0,0,0,0
benefit,142,benefits=89; benefit=47; benefited=3; benefiting=3,110,0,32,0,0,0,0,0
day,142,day=110; days=32,141,1,0,0,0,0,0,0
structure,142,structures=80; structure=55; structured=7,135,0,7,0,0,0,0,0
allow,141,allows=46; allowed=38; allow=30; allowing=27,0,0,141,0,0,0,0,0
ancient,141,ancient=141,0,13,0,0,128,0,0,0
environment,141,environment=81; environments=60,141,0,0,0,0,0,0,0
history,140,history=138; histories=2,139,1,0,0,0,0,0,0
material,140,materials=103; material=37,138,0,0,0,2,0,0,0
become,139,became=51; become=48; becoming=26; becomes=14,0,0,139,0,0,0,0,0
individual,139,individuals=90; individual=49,104,0,0,0,35,0,0,0
course,138,course=110; courses=28,122,0,0,0,0,16,0,0
datum,138,data=138,138,0,0,0,0,0,0,0
urban,137,urban=137,0,10,0,0,127,0,0,0
after,136,after=136,0,0,0,0,0,3,0,133
technique,136,techniques=100; technique=36,136,0,0,0,0,0,0,0
call,135,called=75; call=49; calling=8; calls=3,15,2,118,0,0,0,0,0
computer,134,computer=95; computers=39,128,6,0,0,0,0,0,0
support,134,support=96; supports=19; supported=12; supporting=7,31,1,102,0,0,0,0,0
job,133,job=109; jobs=24,133,0,0,0,0,0,0,0
volunteer,133,volunteered=79; volunteer=24; volunteering=16; volunteers=14,30,3,100,0,0,0,0,0
likely,132,likely=132,0,0,0,0,58,74,0,0
public,132,public=132,13,2,0,0,117,0,0,0
schedule,132,schedule=86; scheduled=39; schedules=7,87,2,43,0,0,0,0,0
sure,131,sure=131,0,34,0,0,74,3,0,20
approach,129,approach=101; approaches=24; approaching=3; approached=1,116,0,13,0,0,0,0,0
high,129,high=91; higher=33; highest=5,0,4,0,0,125,0,0,0
however,129,however=129,0,0,0,0,0,129,0,0
read,129,reading=66; read=63,0,6,123,0,0,0,0,0
cause,128,caused=46; cause=37; causes=28; causing=17,19,0,109,0,0,0,0,0
culture,128,culture=65; cultures=63,123,5,0,0,0,0,0,0
school,127,school=113; schools=14,124,3,0,0,0,0,0,0
free,126,free=126,0,9,0,0,117,0,0,0
join,126,join=69; joining=47; joined=10,1,6,119,0,0,0,0,0
yet,126,yet=126,0,0,0,0,0,105,0,21
building,125,building=74; buildings=51,119,6,0,0,0,0,0,0
local,125,local=124; locals=1,1,2,0,0,122,0,0,0
natural,125,natural=125,0,3,0,0,122,0,0,0
animal,124,animals=75; animal=49,122,1,0,0,1,0,0,0
business,124,business=83; businesses=41,120,4,0,0,0,0,0,0
person,124,person=124,72,52,0,0,0,0,0,0
still,124,still=124,0,0,0,0,0,124,0,0
climate,123,climate=111; climates=12,111,9,3,0,0,0,0,0
develop,123,developed=51; develop=38; developing=32; develops=2,0,0,123,0,0,0,0,0
light,123,light=107; lights=11; lighter=3; lighting=1; lit=1,81,1,4,0,37,0,0,0
modern,123,modern=123,1,4,0,0,118,0,0,0
move,123,move=56; moving=33; moved=23; moves=11,13,1,109,0,0,0,0,0
practice,123,practices=59; practice=40; practiced=12; practicing=12,90,0,33,0,0,0,0,0
artist,122,artists=82; artist=40,121,1,0,0,0,0,0,0
behavior,122,behavior=98; behaviors=24,122,0,0,0,0,0,0,0
field,122,field=79; fields=43,121,1,0,0,0,0,0,0
begin,121,begin=58; began=35; begins=13; beginning=11; begun=4,0,1,120,0,0,0,0,0
emphasize,121,emphasize=94; emphasizes=14; emphasizing=9; emphasized=4,0,0,121,0,0,0,0,0
right,121,right=118; rights=3,6,1,0,0,62,44,0,8
follow,120,following=58; follow=42; followed=14; follows=6,1,0,119,0,0,0,0,0
temperature,120,temperature=66; temperatures=54,118,2,0,0,0,0,0,0
two,120,two=120,0,0,0,0,0,0,0,120
science,119,science=105; sciences=14,110,9,0,0,0,0,0,0
prefer,118,prefer=98; prefers=16; preferred=4,2,0,116,0,0,0,0,0
