lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
question,2645,question=1831; questions=795; questioned=15; questioning=4,2552,2,91,0,0,0,0,0
large,2632,large=1923; larger=570; largest=139,0,4,0,0,2626,2,0,0
item,2618,item=2383; items=235,2118,500,0,0,0,0,0,0
woman,2587,woman=2431; women=156,2587,0,0,0,0,0,0,0
example,2563,example=2050; examples=513,2563,0,0,0,0,0,0,0
explain,2556,explain=2286; explains=117; explained=80; explaining=73,2,1,2553,0,0,0,0,0
only,2545,only=2545,0,2,0,0,355,2188,0,0
man,2540,man=2433; men=106; manned=1,2533,6,1,0,0,0,0,0
idea,2521,ideas=1497; idea=1024,2519,1,1,0,0,0,0,0
also,2510,also=2510,0,0,0,0,0,2510,0,0
listen,2507,listen=2220; listening=271; listened=11; listens=5,1,0,2506,0,0,0,0,0
part,2503,part=2006; parts=497,2465,7,2,0,29,0,0,0
point,2484,point=1402; points=1029; pointed=34; pointing=19,1887,12,585,0,0,0,0,0
study,2454,study=1507; studies=405; studying=353; studied=189,1547,12,895,0,0,0,0,0
food,2410,food=2227; foods=183,2377,31,1,0,1,0,0,0
may,2316,may=2316,0,28,0,2288,0,0,0,0
response,2301,response=2221; responses=80,2282,18,1,0,0,0,0,0
who,2299,who=2299,0,0,0,0,0,0,2299,0
say,2266,say=1141; said=512; says=454; saying=159,5,1,2168,0,0,0,0,92
art,2257,art=2132; arts=125,2158,97,1,0,1,0,0,0
provide,2199,provide=1103; provided=664; provides=256; providing=176,0,2,2197,0,0,0,0,0
area,2195,areas=1269; area=926,2189,5,1,0,0,0,0,0
between,2168,between=2168,1,0,0,0,0,0,0,2167
much,2162,much=2162,0,2,0,0,1070,1090,0,0
transcript,2150,transcript=2148; transcripts=2,740,1410,0,0,0,0,0,0
look,2137,look=1267; looking=476; looked=229; looks=165,117,2,2018,0,0,0,0,0
specie,2134,species=2134,2133,0,1,0,0,0,0,0
early,2127,early=1465; earlier=476; earliest=186,0,17,0,0,1617,493,0,0
paragraph,2106,paragraph=2067; paragraphs=39,1751,331,20,0,4,0,0,0
accord,2104,according=2098; accord=4; accorded=2,4,0,2100,0,0,0,0,0
very,2081,very=2081,0,0,0,0,41,2040,0,0
important,2074,important=2074,0,2,0,0,2072,0,0,0
no,2067,no=2067,15,68,0,0,0,304,0,1680
two,2043,two=2042; twos=1,1,4,0,0,0,0,0,2038
long,2040,long=1527; longer=497; longest=16,0,10,1,0,1089,940,0,0
over,2004,over=2004,1,0,0,0,2,134,0,1867
then,1959,then=1959,0,0,0,0,0,1959,0,0
become,1947,became=827; become=783; becomes=174; becoming=163,0,0,1947,0,0,0,0,0
such,1940,such=1940,0,0,0,0,1666,0,0,274
right,1938,right=1911; rights=27,99,5,0,0,874,459,0,501
even,1937,even=1937,0,0,0,0,4,1933,0,0
give,1917,give=898; given=328; gives=316; gave=221; giving=154,0,1,1916,0,0,0,0,0
my,1902,my=1902,0,0,0,0,0,0,1885,17
earth,1888,earth=1877; earths=11,232,1656,0,0,0,0,0,0
form,1876,form=954; formed=447; forms=376; forming=99,903,6,967,0,0,0,0,0
really,1793,really=1793,0,0,0,0,0,1793,0,0
during,1790,during=1790,0,0,0,0,0,0,0,1790
write,1789,write=795; writing=462; written=321; wrote=191; writes=20,1,1,1787,0,0,0,0,0
live,1777,live=835; living=524; lived=334; lives=84,1,2,1665,0,100,9,0,0
small,1741,small=1265; smaller=447; smallest=29,1,4,0,0,1736,0,0,0
should,1738,should=1738,0,0,0,1738,0,0,0,0
group,1728,group=1051; groups=654; grouped=14; grouping=9,1681,21,26,0,0,0,0,0
might,1727,might=1727,1,0,0,1726,0,0,0,0
want,1725,want=970; wanted=497; wants=248; wanting=10,1,0,1724,0,0,0,0,0
lot,1663,lot=1352; lots=311,1659,4,0,0,0,0,0,0
great,1654,great=1209; greater=354; greatest=91,0,153,0,0,1492,0,0,9
mean,1653,mean=940; means=470; meant=152; meaning=91,96,7,1541,0,9,0,0,0
her,1645,her=1643; hers=2,2,0,0,0,0,0,1643,0
come,1639,come=635; came=523; comes=251; coming=230,0,0,1637,0,2,0,0,0
produce,1638,produce=733; produced=565; producing=198; produces=142,43,2,1593,0,0,0,0,0
word,1617,word=1141; words=474; worded=2,1254,361,2,0,0,0,0,0
before,1609,before=1609,0,0,1,0,0,234,0,1374
same,1595,same=1595,0,2,0,0,1593,0,0,0
those,1595,those=1595,0,0,0,0,0,0,0,1595
